,site,season,level,algorithm,loss
208,陵东街,1,4,xgb,14.179457241310887
209,陵东街,1,5,xgb,30.465381769018993
210,陵东街,1,6,xgb,173.85334791533418
211,陵东街,2,1,xgb,5.1953844300011776
212,陵东街,2,2,xgb,11.353358183670437
213,陵东街,2,3,xgb,16.294046338476637
214,陵东街,3,1,xgb,6.447514781690738
215,陵东街,3,2,xgb,11.576701262911168
216,陵东街,3,3,xgb,13.072972489480476
217,陵东街,3,4,xgb,16.429368169238423
218,陵东街,3,5,xgb,23.939118540987245
219,陵东街,3,6,xgb,25.93909121934863
220,陵东街,4,1,xgb,6.795154495397454
221,陵东街,4,2,xgb,12.575637870387727
222,陵东街,4,3,xgb,15.490331051382785
223,陵东街,4,4,xgb,16.030113994706415
224,陵东街,4,5,xgb,18.968813112323993
225,陵东街,4,6,xgb,46.47664710450816
